isin,currency,firstbride_id,date,nav,aum
FR0014002IH8,EUR,2d978f9575674ccdb36825173cfe21ad,2025-01-09,17.92,9840000.0
FR0014002IH8,EUR,c7af141983dc4650a6df5b06e148d6aa,2025-01-09,17.92,9840000.0
FR0014002IH8,EUR,e50e993842904109a91fa792e93b16c1,2025-01-09,17.92,9840000.0
